Strain,Stress_MPa
0.0,0.0
1.1964029908995144e-08,0.028905648803710937
3.5417360777501017e-07,0.2238062255859375
1.5675302711315453e-06,0.587183984375
4.203823918942362e-06,1.123645703125
6.2230380717664955e-06,1.45366083984375
1.1991092469543218e-05,2.232159765625
2.0492090843617916e-05,3.1668876953125
3.2226357143372296e-05,4.2534265625
4.768075887113809e-05,5.483338671875
5.6951483711600306e-05,6.15171796875
7.886963896453381e-05,7.59200078125
0.0001056666299700737,9.1635515625
0.00013778270222246646,10.863275
0.00017564499750733376,12.68579375
0.0001968608982861042,13.6412125
0.0002441147156059742,15.637503125
0.0002981254085898399,17.7442953125
0.0003592745214700699,19.9556453125
0.00039264168590307235,21.0990984375
0.00046518590301275253,23.459125
0.0005457663908600807,25.9123
0.0006347203999757766,28.4544625
0.0007323724776506424,31.08115625
0.00078455850481987,32.42476875
0.0008958397805690766,35.17033125
0.001016576886177063,37.990140625
0.001147051900625229,40.8800625
0.0012875346839427949,43.836559375
0.0013616102933883666,45.338575
0.00151758536696434,48.388021875
0.0016841912269592286,51.4952875
0.0018616576492786407,54.65709375
0.0020502030849456785,57.87065625
0.00214869499206543,59.49600625
0.00236482173204422,62.94623125
0.0025825271010398864,66.27866875
0.0028119948506355285,69.6520875
0.0029311928153038023,71.35376875
0.003178617060184479,74.78495625
0.003438205122947693,78.25198125
0.003710099458694458,81.75156875
0.003994433581829071,85.28371875
0.0041413033008575436,87.06108125
0.004460016191005707,90.8201875
0.00477660059928894,94.4392875
0.005106015205383301,98.10928125
0.005448349118232727,101.8554375
0.005624384880065918,103.7706375
0.00598624050617218,107.7165375
0.006380280256271362,112.0668875
0.006769037246704102,116.4418125
0.00717098593711853,121.042
0.007376915812492371,123.4207
0.007798703908920288,128.3249875
0.008255839943885804,133.6806875
0.00870479166507721,138.9852875
0.008934235572814942,141.7154625
0.009403055906295777,147.329825
0.009885101914405822,153.142975
0.010405457019805909,159.459425
0.01091452717781067,165.6791375
0.011173982620239258,168.8635625
0.01170271635055542,175.384825
0.01227191686630249,182.4457
0.012827310562133789,189.3668625
0.013424351215362548,196.833225
0.013713626861572266,200.456175
0.014301739931106568,207.8295125
0.014902501106262208,215.364175
0.015546793937683106,223.447725
0.016173136234283448,231.29745
0.016522878408432008,235.680525
0.01716824173927307,243.75805
0.01782572388648987,251.9731
0.01852897644042969,260.746025
0.018868457078933715,264.97695
0.019590897560119627,273.96345
0.020290789604187013,282.6385
0.0210379695892334,291.880875
0.021761109828948976,300.7728
0.02216357946395874,305.694225
0.022903871536254884,314.68395
0.023692855834960936,324.1838
0.024493582248687744,333.723575
0.02526691436767578,342.831725
0.025696654319763184,347.8517
0.02648589849472046,356.992475
0.027325353622436523,366.5739
0.028175902366638184,376.08945
0.029037637710571287,385.449225
0.02945186138153076,389.84825
0.03032972812652588,398.92285
0.03121826648712158,407.587
0.03211728096008301,415.593325
