Displacement,Force
0.000504921,170.263
0.00100063,169.994
0.00150832,169.752
0.00200289,169.508
0.00251046,169.295
0.00300492,330.986
0.00351238,495.357
0.00400682,498.69
0.00450127,502.609
0.00500873,505.32
0.00550317,505.91
0.00601063,650.899
0.00650506,827.866
0.00701251,830.087
0.00750695,836.376
0.00800139,840.395
0.00850884,843.267
0.00900328,942.134
0.00951072,1169.51
0.0100052,1169.91
0.0105126,1172.85
0.011007,1174.14
0.0115015,1177.59
0.0120089,1257.25
0.0125034,1519.91
0.0130108,1506.64
0.0135053,1509.02
0.0140127,1507.92
0.0145071,1513.23
0.0150016,1562.33
0.015509,1868.1
0.0160035,1843.36
0.0165109,1846.85
0.0170054,1843.59
0.0175128,1848.9
0.0180072,1884.76
0.0185017,2217.1
0.0190091,2177.01
0.0195036,2182.31
0.020011,2174.94
0.0205055,2179.51
0.0209999,2203.8
0.0215073,2545.29
0.0220018,2503.54
0.0225092,2511.71
0.0230037,2502.54
0.0235111,2508.92
0.0240055,2530.32
0.0245,2850.23
0.0250074,2832.77
0.0255019,2839.45
0.0260093,2832.22
0.0265038,2839.87
0.0270112,2857.64
0.0275056,3141.37
0.0280001,3163.72
0.0285075,3164.99
0.029002,3160.88
0.0295094,3166.06
0.0300039,3180.17
0.0305114,3417.8
0.0310059,3493.47
0.0315003,3489.77
0.0320069,3488.83
0.0325104,3490.68
0.0330004,3508.13
0.033503,3684.46
0.0340056,3829.09
0.0345079,3819.43
0.0350097,3819.56
0.0355114,3819.31
0.0360001,3838.39
0.0365016,3957.45
0.0370029,4159.23
0.0375039,4141.76
0.0380042,4147.36
0.0385039,4141.42
0.0390035,4160.34
0.0395028,4233.19
0.0400022,4474.9
0.0405014,4462.35
0.0410126,4472.24
0.041511,4461.74
0.0420092,4481.21
0.0425072,4525.99
0.043005,4775.17
0.0435027,4790.77
0.0440126,4789.26
0.0445094,4783.27
0.0450059,4797.1
0.0455022,4832.01
0.046011,5053.8
0.0465068,5115.11
0.0470024,5102.47
0.0475101,5106.51
0.0480046,5118.21
0.0485116,5153.0
0.0490057,5314.41
0.0495124,5437.69
0.0500064,5425.26
0.0505122,5435.37
0.0510051,5436.82
0.0515104,5471.33
0.052003,5569.17
0.052508,5749.88
0.0530004,5746.67
0.0535051,5753.88
0.0540087,5749.9
0.054512,5780.46
0.0550026,5841.93
0.0555056,6049.81
0.0560082,6070.07
0.0565106,6066.53
0.0570122,6070.06
0.0575006,6092.3
0.0580006,6140.85
0.0585004,6323.74
0.0590121,6387.64
0.0595091,6378.45
0.0600061,6390.9
0.060503,6397.2
0.0610105,6442.7
0.0615054,6569.83
0.0620123,6687.59
0.0625053,6689.23
0.0630103,6698.96
0.0635029,6693.77
0.0640063,6731.82
0.0645085,6811.13
0.065011,6973.75
0.0655113,6989.62
0.0660081,6979.29
0.0665006,6975.14
0.0670105,6995.92
0.0675007,7049.3
0.0680098,7211.86
0.0685047,7252.15
0.0690083,7237.42
0.0695067,7240.44
0.0700111,7238.94
0.0705009,7282.31
0.0710104,7401.51
0.0715072,7487.87
0.0720024,7486.08
0.0725053,7474.75
0.0730042,7463.42
0.0735082,7497.41
0.0740103,7570.38
0.0745014,7691.2
0.0750015,7705.99
0.0755095,7681.04
0.0760037,7672.32
0.0765057,7679.1
0.077009,7725.15
0.0775008,7834.32
0.0780026,7879.66
0.0785026,7868.36
0.0790021,7855.93
0.079509,7845.14
0.0800031,7861.28
0.0805051,7902.12
0.0810047,7886.81
0.0815033,7892.31
0.0820005,7880.82
0.0825052,7856.64
0.0830068,7834.69
0.0835096,7817.24
0.0840004,7805.05
0.0845011,7795.1
0.085002,7773.37
0.085502,7714.35
0.0860034,7638.71
0.0865037,7539.91
0.0870036,7423.17
0.0875067,7307.57
0.0880002,7181.65
0.0885031,7128.08
0.0890063,7065.27
0.0895013,7092.19
0.0900061,7018.86
0.0905065,6959.92
0.0910058,6907.03
0.0915055,6905.13
0.0920057,6917.59
0.0925055,6888.37
0.0930046,6842.58
0.0935016,6815.88
0.0940053,6807.59
0.0945053,6842.91
0.0950049,6814.15
0.095505,6772.9
0.0960001,6751.05
0.0965008,6770.42
0.0970015,6757.57
0.0975002,6728.4
0.0980005,6716.26
0.0985035,6694.78
0.0990008,6707.27
0.099504,6697.77
0.1,6677.96
