Displacement,Force
0.000504786,171.594
0.00100045,171.332
0.00150819,171.085
0.00200282,170.841
0.00251044,170.653
0.00300495,333.607
0.00351244,499.073
0.00400692,502.912
0.0045014,506.721
0.0050089,510.014
0.00550338,510.071
0.00601088,656.708
0.00650537,834.358
0.00701287,836.446
0.00750736,842.956
0.00800185,848.027
0.00850936,849.826
0.00900385,950.516
0.00951135,1178.48
0.0100058,1178.81
0.0105003,1182.0
0.0110078,1185.43
0.0115023,1187.07
0.0120098,1268.24
0.0125043,1532.22
0.0130118,1518.7
0.0135063,1520.73
0.0140008,1522.91
0.0145083,1524.78
0.0150028,1574.26
0.0155102,1882.39
0.0160047,1858.33
0.0165122,1861.53
0.0170067,1861.55
0.0175011,1863.0
0.0180086,1897.97
0.0185031,2233.16
0.0190106,2194.7
0.0195051,2201.12
0.0200125,2196.49
0.020507,2197.7
0.0210015,2218.74
0.021509,2564.64
0.0220034,2523.71
0.0225109,2533.01
0.0230054,2526.01
0.0234999,2530.25
0.0240074,2547.15
0.0245018,2873.61
0.0250093,2854.63
0.0255038,2862.11
0.0260113,2855.74
0.0265057,2864.38
0.0270002,2875.59
0.0275077,3169.81
0.0280022,3187.59
0.0285097,3189.01
0.0290041,3185.53
0.0295116,3196.43
0.0300061,3205.32
0.0305006,3441.18
0.0310081,3518.21
0.0315025,3514.81
0.03201,3515.46
0.0325045,3526.45
0.0330118,3536.99
0.0335038,3714.98
0.0340081,3855.63
0.0345123,3846.9
0.0350034,3850.54
0.0355072,3859.34
0.0360107,3869.88
0.036501,3986.09
0.0370042,4192.72
0.0375074,4173.42
0.0380105,4182.59
0.0385003,4182.05
0.0390024,4193.53
0.039504,4263.59
0.0400056,4514.46
0.0405071,4495.07
0.0410081,4509.06
0.0415088,4501.29
0.0420095,4517.6
0.0425097,4560.7
0.0430099,4817.53
0.0435101,4825.71
0.0440099,4827.69
0.0445095,4823.9
0.0450091,4841.0
0.045508,4870.55
0.0460069,5089.73
0.0465057,5154.08
0.047004,5142.69
0.0475019,5149.09
0.0480124,5167.43
0.0485097,5189.91
0.0490068,5350.61
0.0495039,5481.71
0.0500008,5469.11
0.0505101,5482.08
0.0510067,5490.91
0.0515025,5511.42
0.0520105,5613.87
0.0525053,5799.22
0.0530113,5793.68
0.0535042,5802.57
0.0540098,5804.28
0.0545008,5825.75
0.0550032,5886.22
0.0555061,6096.71
0.0560073,6116.44
0.0565073,6114.54
0.0570071,6123.19
0.0575064,6147.68
0.0580038,6186.15
0.058501,6369.23
0.0590103,6438.36
0.0595054,6432.99
0.0600005,6448.77
0.0605072,6464.14
0.0610122,6492.41
0.0615054,6619.74
0.0620104,6745.09
0.0625011,6748.03
0.0630041,6758.98
0.0635079,6766.04
0.0640085,6789.75
0.0645084,6866.59
0.0650082,7036.66
0.0655049,7054.54
0.0660111,7052.12
0.0665061,7059.61
0.0670122,7080.57
0.067505,7126.81
0.0680082,7297.9
0.0685092,7344.26
0.069008,7340.42
0.0695042,7350.38
0.0700109,7362.03
0.0705043,7392.94
0.0710081,7520.16
0.0715084,7617.37
0.0720075,7624.25
0.0725025,7621.87
0.0730052,7626.07
0.073503,7647.3
0.074011,7723.38
0.074504,7861.66
0.0750052,7880.22
0.0755057,7867.7
0.0760106,7868.91
0.0765046,7883.23
0.0770052,7922.23
0.0775017,8047.24
0.0780056,8093.14
0.078507,8085.43
0.079006,8072.1
0.0795041,8071.47
0.0800007,8082.32
0.0805078,8123.73
0.0810038,8096.26
0.0815102,8089.83
0.0820063,8080.25
0.082502,8066.21
0.0830082,8045.15
0.0835034,8021.63
0.0840088,8011.16
0.0845036,7981.74
0.0850061,7937.68
0.0855089,7843.06
0.086007,7739.97
0.0865067,7586.26
0.0870032,7445.82
0.0875051,7328.5
0.0880042,7235.24
0.0885034,7142.29
0.0890037,7001.47
0.089501,6976.47
0.0900042,6937.15
0.0905019,6883.25
0.0910037,6853.31
0.0915038,6791.57
0.0920019,6831.29
0.0925046,6752.95
0.0930013,6741.0
0.0935026,6701.35
0.0940023,6686.41
0.0945022,6694.34
0.0950013,6680.36
0.0955005,6638.88
0.0960052,6604.14
0.0965027,6570.53
0.0970022,6566.92
0.0975019,6581.78
0.0980042,6524.91
0.0985022,6482.97
0.0990018,6463.65
0.0995009,6468.36
0.1,6482.75
