Displacement,Force
0.000504931,168.513
0.00100067,168.254
0.00150838,168.026
0.00200297,167.765
0.00251053,167.575
0.00300495,327.187
0.00351236,489.918
0.00400676,495.07
0.00450117,498.18
0.00500858,501.016
0.00550298,501.002
0.00601039,642.527
0.00650479,819.749
0.00701221,823.597
0.00750661,828.68
0.00800101,833.23
0.00850842,835.039
0.00900283,931.072
0.00951024,1158.94
0.0100046,1159.7
0.0105121,1160.67
0.0110065,1164.1
0.0115009,1165.7
0.0120083,1242.42
0.0125027,1506.55
0.0130101,1492.56
0.0135045,1492.13
0.0140119,1494.35
0.0145063,1497.74
0.0150007,1544.46
0.0155081,1850.35
0.0160025,1824.4
0.0165099,1826.55
0.0170043,1827.27
0.0175117,1830.57
0.0180061,1863.25
0.0185005,2192.15
0.019008,2152.65
0.0195024,2159.13
0.0200098,2155.49
0.0205042,2159.19
0.0210116,2181.94
0.021506,2514.73
0.0220004,2475.73
0.0225078,2486.09
0.0230022,2479.0
0.0235096,2486.67
0.024004,2501.98
0.0245114,2823.39
0.0250058,2804.05
0.0255002,2812.13
0.0260076,2802.86
0.026502,2813.83
0.0270095,2826.76
0.0275039,3107.76
0.0280113,3133.16
0.0285057,3133.98
0.0290001,3123.62
0.0295075,3136.5
0.0300019,3149.23
0.0305093,3382.27
0.0310037,3459.28
0.0315111,3452.37
0.0320055,3444.76
0.0324999,3458.58
0.0330068,3476.04
0.0334996,3643.07
0.0340052,3788.58
0.0345106,3776.57
0.0350028,3772.91
0.0355079,3784.15
0.0359998,3803.97
0.0365044,3914.86
0.0370091,4113.69
0.0375005,4098.11
0.0380042,4101.05
0.0385079,4101.5
0.0390113,4123.75
0.0395015,4186.04
0.0400045,4427.47
0.0405074,4418.77
0.04101,4425.48
0.0414996,4415.12
0.042002,4439.72
0.042504,4478.35
0.0430061,4724.27
0.0435081,4743.45
0.0440096,4738.03
0.0445109,4730.38
0.0450122,4751.72
0.0455002,4783.81
0.0460009,4991.39
0.0465016,5061.68
0.0470018,5047.94
0.0475017,5048.68
0.0480015,5068.63
0.0485011,5103.46
0.0490004,5249.15
0.0494998,5377.76
0.0500117,5370.18
0.0505104,5374.83
0.0510091,5385.82
0.0515077,5421.77
0.0520061,5507.48
0.0525044,5684.96
0.0530024,5690.93
0.053512,5691.25
0.0540082,5694.71
0.0545039,5725.62
0.0550106,5780.09
0.0555051,5977.31
0.0560119,6005.75
0.0565039,5998.28
0.0570084,6003.56
0.0575005,6029.5
0.0580034,6072.62
0.0585057,6241.09
0.0590067,6307.02
0.0595053,6302.96
0.060003,6310.52
0.0605117,6328.37
0.0610063,6366.7
0.0615006,6473.75
0.0620049,6594.85
0.0625045,6606.65
0.0629997,6607.66
0.0635052,6617.17
0.0640012,6646.14
0.0645104,6712.17
0.0650058,6868.47
0.0655104,6892.46
0.0660028,6882.74
0.0665088,6886.31
0.0670029,6906.78
0.0675069,6950.85
0.0680106,7101.23
0.0685045,7144.65
0.0690114,7140.98
0.0695041,7137.91
0.0700051,7145.46
0.0705052,7177.06
0.0710027,7279.28
0.0715101,7369.99
0.0720045,7381.04
0.0725063,7365.62
0.0730057,7364.6
0.0735025,7385.4
0.0740081,7446.38
0.0744997,7565.87
0.0750099,7588.25
0.0755073,7571.04
0.0760045,7561.92
0.0765012,7568.35
0.0770067,7601.37
0.077508,7703.63
0.078006,7750.27
0.0785005,7747.49
0.0790008,7728.15
0.0795054,7715.67
0.0800016,7723.6
0.0805025,7765.47
0.0810089,7764.06
0.0815023,7755.01
0.0820047,7742.55
0.0825078,7722.39
0.083007,7698.42
0.0835082,7679.54
0.0840001,7670.01
0.0845032,7658.59
0.0850022,7646.62
0.0855023,7627.04
0.0860005,7578.42
0.086506,7522.96
0.0870017,7460.17
0.0875032,7425.56
0.0880015,7357.97
0.0885022,7325.41
0.0890036,7296.74
0.0895005,7220.06
0.0900003,7178.51
0.0905023,7126.42
0.0910013,7077.3
0.0915,7010.81
0.0920002,6977.7
0.0925061,6935.64
0.0930015,6925.61
0.0935014,6920.7
0.0940033,6915.44
0.0945028,6908.04
0.0950035,6903.81
0.0955019,6850.98
0.0960046,6853.39
0.0965051,6819.73
0.0969996,6834.81
0.0975027,6816.39
0.0980004,6813.86
0.0985025,6794.67
0.0990022,6760.56
0.0995053,6769.61
0.0999995,6774.38
