Displacement,Force
0.000504965,172.819
0.0010008,172.553
0.00150862,172.314
0.00200332,172.055
0.00251101,171.851
0.00300556,338.638
0.0035001,503.572
0.00400765,506.352
0.00450218,510.305
0.00500973,513.126
0.00550426,513.913
0.00601182,664.282
0.00650636,839.305
0.00700091,844.787
0.00750846,849.242
0.008003,854.22
0.00851056,856.759
0.00900511,960.527
0.00951266,1185.56
0.0100072,1188.56
0.0105017,1189.29
0.0110093,1193.11
0.0115039,1195.53
0.0120114,1280.21
0.012506,1540.37
0.0130005,1531.0
0.0135081,1529.26
0.0140026,1532.33
0.0145102,1536.24
0.0150047,1589.49
0.0155123,1893.86
0.0160068,1871.86
0.0165013,1873.23
0.0170089,1873.41
0.0175034,1877.31
0.018011,1916.04
0.0185055,2248.26
0.0190001,2209.05
0.0195076,2213.37
0.0200022,2210.39
0.0205097,2213.94
0.0210043,2237.77
0.0215118,2582.65
0.0220064,2540.22
0.0225009,2547.65
0.0230085,2543.09
0.023503,2548.85
0.0240106,2568.26
0.0245051,2896.64
0.0250127,2874.81
0.0255072,2881.76
0.0260018,2875.9
0.0265093,2885.81
0.0270039,2899.28
0.0275114,3196.86
0.028006,3211.5
0.0285005,3211.54
0.0290081,3207.29
0.0295026,3217.46
0.0300102,3230.42
0.0305047,3471.34
0.0310123,3545.88
0.0315068,3541.23
0.0320014,3538.26
0.0325089,3548.34
0.0330035,3563.96
0.033511,3750.37
0.0340056,3886.67
0.0345001,3877.15
0.0350077,3872.65
0.0355014,3880.83
0.0360068,3897.69
0.036512,4024.71
0.0370042,4222.29
0.0375092,4205.0
0.0380008,4205.08
0.0385047,4205.64
0.0390084,4224.57
0.039512,4302.32
0.0400027,4544.26
0.0405063,4530.49
0.0410095,4536.0
0.0414996,4531.2
0.0420024,4552.05
0.0425051,4597.02
0.0430078,4849.88
0.0435103,4864.41
0.0439996,4858.1
0.0445015,4857.98
0.0450032,4874.75
0.0455047,4908.19
0.046006,5127.15
0.0465073,5195.41
0.0470084,5177.15
0.0475089,5183.21
0.0480093,5200.74
0.0485096,5231.9
0.0490098,5395.46
0.0495099,5521.74
0.0500099,5505.29
0.0505096,5514.03
0.0510094,5525.15
0.0515088,5555.97
0.0520079,5657.36
0.052507,5836.29
0.0530061,5833.65
0.0535048,5835.24
0.0540031,5841.43
0.054501,5868.89
0.0550113,5935.07
0.0555086,6136.3
0.0560053,6160.84
0.0565009,6145.99
0.0570089,6158.88
0.0575038,6182.95
0.0580082,6228.96
0.0585098,6408.95
0.0590105,6475.36
0.0595118,6456.33
0.0600003,6475.36
0.0605104,6489.93
0.0610074,6525.03
0.0615029,6650.48
0.0619998,6770.35
0.0625084,6768.65
0.0630041,6776.82
0.0635109,6782.69
0.0640034,6809.64
0.0645066,6890.16
0.0650058,7045.15
0.065501,7065.55
0.0660055,7046.72
0.0665084,7053.99
0.0670101,7070.68
0.0675105,7120.78
0.0680111,7273.53
0.0684996,7319.65
0.0690001,7300.1
0.0695097,7307.0
0.0700048,7314.33
0.0705103,7347.48
0.0710008,7463.35
0.0715048,7552.15
0.0720058,7552.7
0.0725062,7540.51
0.0730015,7536.77
0.0735073,7560.47
0.0740025,7634.1
0.0745,7751.71
0.075007,7772.75
0.0755023,7746.95
0.0760002,7738.74
0.0765076,7745.75
0.0770036,7788.6
0.0775067,7896.14
0.0780075,7939.7
0.0785077,7923.51
0.0790071,7907.41
0.0795049,7895.45
0.0800031,7906.17
0.0805097,7952.37
0.0810051,7946.34
0.0814999,7944.85
0.082004,7930.06
0.0825076,7903.04
0.083004,7877.15
0.0835004,7863.71
0.0840078,7856.13
0.0845065,7845.5
0.0850048,7839.2
0.0855067,7809.53
0.0860059,7765.54
0.0865075,7697.86
0.0870064,7631.42
0.0875007,7533.09
0.0880058,7506.15
0.0885053,7430.75
0.0890002,7403.48
0.0895029,7336.84
0.0900025,7302.63
0.0905028,7264.38
0.0910033,7242.59
0.0915029,7192.1
0.0920001,7174.47
0.0925038,7145.38
0.0930059,7143.97
0.0935047,7124.11
0.0940042,7121.87
0.0945029,7070.58
0.0950056,7054.62
0.095502,7039.33
0.0960026,7067.13
0.0965018,7038.54
0.0970048,7001.77
0.0975021,6981.97
0.0980016,6966.49
0.0985019,6964.75
0.0990002,6956.24
0.0995009,6933.66
0.0999996,6919.54
